Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,570.0,829.0,111.0,0.8828828828828829,0.021994829177856445,0.044985294342041016,0.0031273365020751953,0.0003085136413574219,1.0
15.0,570.0,1048.0,84.0,0.8690476190476191,0.02612161636352539,0.07143759727478027,0.0037317276000976562,0.0002522468566894531,1.0
30.0,570.0,983.0,83.0,0.8313253012048193,0.02174687385559082,0.09040594100952148,0.0033185482025146484,0.00028705596923828125,1.0
45.0,570.0,987.0,89.0,0.8539325842696629,0.025215864181518555,0.09787440299987793,0.003328561782836914,0.0002658367156982422,1.0
60.0,570.0,980.0,80.0,0.8625,0.02617812156677246,0.08824658393859863,0.0036640167236328125,0.0003082752227783203,1.0
75.0,570.0,1039.0,84.0,0.8690476190476191,0.02132558822631836,0.07269930839538574,0.0047872066497802734,0.00030040740966796875,1.0
90.0,570.0,822.0,98.0,0.8877551020408163,0.023326635360717773,0.05414009094238281,0.0032007694244384766,0.0002892017364501953,1.0
105.0,570.0,1043.0,88.0,0.875,0.021867752075195312,0.06534123420715332,0.0035228729248046875,0.0002543926239013672,1.0
120.0,570.0,976.0,83.0,0.8674698795180723,0.022278308868408203,0.09700989723205566,0.0033159255981445312,0.0002727508544921875,1.0
135.0,570.0,995.0,88.0,0.8522727272727273,0.020967960357666016,0.08515024185180664,0.0036971569061279297,0.0002906322479248047,1.0
150.0,570.0,980.0,83.0,0.8674698795180723,0.02384781837463379,0.09639167785644531,0.0035207271575927734,0.00027060508728027344,1.0
165.0,570.0,1038.0,85.0,0.8470588235294118,0.021723508834838867,0.06522631645202637,0.003509521484375,0.0002949237823486328,1.0
180.0,570.0,817.0,108.0,0.8796296296296297,0.024488449096679688,0.054540157318115234,0.0028035640716552734,0.00027680397033691406,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,570,829,111,0.8828828828828829,0.02119278907775879,0.03911709785461426,0.00281524658203125,0.0002682209014892578,1
1.5,570,2027,59,0.711864406779661,0.021547794342041016,0.11285066604614258,0.006930112838745117,0.00031280517578125,1
2.0,570,2879,83,0.6385542168674698,0.024309873580932617,0.19480109214782715,0.010855436325073242,0.0007197856903076172,1
2.5,570,3711,53,0.4528301886792453,0.021340608596801758,0.29642176628112793,0.013834953308105469,0.0011348724365234375,1
3.0,570,4804,66,0.5909090909090909,0.021527767181396484,0.4303703308105469,0.01583552360534668,0.0005192756652832031,1
3.5,570,6129,71,0.352112676056338,0.0239105224609375,0.5817818641662598,0.01963520050048828,0.002910137176513672,1
4.0,570,7435,89,0.47191011235955055,0.02091383934020996,0.7866652011871338,0.024505615234375,0.0009641647338867188,1
4.5,570,8757,51,0.3333333333333333,0.02343606948852539,0.9956905841827393,0.02857208251953125,0.003889322280883789,-1
5.0,570,9748,53,0.22641509433962265,0.019938230514526367,1.2279140949249268,0.031066417694091797,0.018001317977905273,-1
