Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1608.0,1622.0,685.0,0.8102189781021898,0.03675079345703125,1.6841740608215332,0.0049190521240234375,0.00045561790466308594,1.0
15.0,1608.0,3027.0,266.0,0.424812030075188,0.03483223915100098,0.06669783592224121,0.008320808410644531,0.001474142074584961,1.0
30.0,1608.0,2734.0,176.0,0.44886363636363635,0.04026055335998535,0.06422662734985352,0.008704662322998047,0.0013549327850341797,1.0
45.0,1608.0,1997.0,205.0,0.3951219512195122,0.03899693489074707,0.05368924140930176,0.006834983825683594,0.0019478797912597656,1.0
60.0,1608.0,2708.0,210.0,0.32857142857142857,0.03948545455932617,0.06407022476196289,0.00820016860961914,0.004095315933227539,1.0
75.0,1608.0,2958.0,273.0,0.42857142857142855,0.03850579261779785,0.06368780136108398,0.009192228317260742,0.0017626285552978516,1.0
90.0,1608.0,1608.0,668.0,0.7994011976047904,0.038245439529418945,0.043235063552856445,0.004611492156982422,0.00041222572326660156,1.0
105.0,1608.0,3001.0,270.0,0.43333333333333335,0.040915727615356445,0.06080055236816406,0.008781909942626953,0.0013518333435058594,1.0
120.0,1608.0,2742.0,173.0,0.48554913294797686,0.03853583335876465,0.06457662582397461,0.007695674896240234,0.0010437965393066406,1.0
135.0,1608.0,1986.0,208.0,0.3894230769230769,0.05057477951049805,0.06597495079040527,0.00624537467956543,0.002017974853515625,1.0
150.0,1608.0,2707.0,209.0,0.31100478468899523,0.04051852226257324,0.060373544692993164,0.00899362564086914,0.004797935485839844,1.0
165.0,1608.0,2962.0,273.0,0.43223443223443225,0.03894495964050293,0.06187891960144043,0.0082244873046875,0.0013816356658935547,1.0
180.0,1608.0,1601.0,657.0,0.802130898021309,0.04121518135070801,0.045033931732177734,0.004496097564697266,0.00040912628173828125,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1608,1622,685,0.8102189781021898,0.03775191307067871,0.04977869987487793,0.004760026931762695,0.00041747093200683594,1
1.5,1608,2436,446,0.5112107623318386,0.04066205024719238,0.10497808456420898,0.007573366165161133,0.0008158683776855469,1
2.0,1608,3399,545,0.5871559633027523,0.03600764274597168,0.14158916473388672,0.010183334350585938,0.0006134510040283203,1
2.5,1608,4521,551,0.43738656987295826,0.0380244255065918,0.18030190467834473,0.012458086013793945,0.001420736312866211,1
3.0,1608,5902,576,0.3836805555555556,0.038089752197265625,0.26688647270202637,0.01884913444519043,0.0025377273559570312,1
3.5,1608,7135,593,0.4266441821247892,0.037116289138793945,0.33156561851501465,0.02144026756286621,0.0016183853149414062,1
4.0,1608,8389,719,0.4951321279554937,0.03544163703918457,0.38660144805908203,0.022280454635620117,0.0011861324310302734,1
4.5,1608,9662,615,0.3300813008130081,0.03707718849182129,0.4406154155731201,0.025664329528808594,0.0053653717041015625,1
5.0,1608,10770,617,0.31442463533225284,0.03809976577758789,0.5217633247375488,0.029420852661132812,0.0054132938385009766,1
