Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,9291.0,6731.0,2553.0,0.9522130826478653,0.027133703231811523,1.6314499378204346,0.09433984756469727,0.0015895366668701172,1.0
15.0,9291.0,7410.0,1732.0,0.8493071593533488,0.02678513526916504,0.024416685104370117,0.11216211318969727,0.0008695125579833984,1.0
30.0,9291.0,7847.0,1711.0,0.8959672706019871,0.02649068832397461,0.030187368392944336,0.10894536972045898,0.0008935928344726562,1.0
45.0,9291.0,7447.0,1734.0,0.8160322952710496,0.03152632713317871,0.03285837173461914,0.10661077499389648,0.0009036064147949219,1.0
60.0,9291.0,7959.0,1745.0,0.901432664756447,0.03251147270202637,0.028300762176513672,0.11700057983398438,0.0010595321655273438,1.0
75.0,9291.0,7396.0,1717.0,0.8276062900407688,0.02594590187072754,0.02536606788635254,0.1072990894317627,0.0008606910705566406,1.0
90.0,9291.0,6717.0,2597.0,0.9599537928378898,0.026168107986450195,0.0208282470703125,0.09495210647583008,0.0014986991882324219,1.0
105.0,9291.0,7372.0,1737.0,0.9211283822682786,0.027498960494995117,0.02786564826965332,0.10527276992797852,0.0009791851043701172,1.0
120.0,9291.0,7846.0,1773.0,0.8652002256063169,0.028010845184326172,0.028116464614868164,0.11025404930114746,0.0009226799011230469,1.0
135.0,9291.0,7551.0,1782.0,0.8956228956228957,0.028753042221069336,0.028376340866088867,0.10602784156799316,0.0009765625,1.0
150.0,9291.0,7886.0,1720.0,0.8674418604651163,0.026058673858642578,0.026813268661499023,0.11084699630737305,0.0007894039154052734,1.0
165.0,9291.0,7415.0,1716.0,0.8817016317016317,0.028784990310668945,0.024466753005981445,0.10392308235168457,0.0008089542388916016,1.0
180.0,9291.0,6711.0,2381.0,0.9542209155816883,0.027646541595458984,0.0223391056060791,0.09655284881591797,0.0013880729675292969,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,9291,6731,2553,0.9522130826478653,0.032309770584106445,0.02624201774597168,0.10136651992797852,0.0013346672058105469,1
1.5,9291,10537,1554,0.9369369369369369,0.02693915367126465,0.04151487350463867,0.1498250961303711,0.0009458065032958984,1
2.0,9291,14215,1221,0.8624078624078624,0.0391080379486084,0.058930158615112305,0.21067261695861816,0.0006432533264160156,1
2.5,9291,17596,1177,0.9167374681393373,0.026680707931518555,0.08336997032165527,0.24796557426452637,0.0006055831909179688,1
3.0,9291,20047,844,0.8909952606635071,0.026965856552124023,0.09870648384094238,0.27780604362487793,0.00045871734619140625,1
3.5,9291,21700,562,0.8665480427046264,0.02649998664855957,0.10490202903747559,0.3019256591796875,0.00038051605224609375,1
4.0,9291,22917,329,0.8145896656534954,0.02593994140625,0.12884044647216797,0.31595778465270996,0.0002970695495605469,1
4.5,9291,23793,89,0.449438202247191,0.027116775512695312,0.13620424270629883,0.32877445220947266,0.0011594295501708984,1
5.0,9291,24362,61,0.13114754098360656,0.02829742431640625,0.16603517532348633,0.34812140464782715,0.018943309783935547,1
