Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1643.0,1524.0,642.0,0.794392523364486,0.16298222541809082,0.1619555950164795,0.005010366439819336,0.000457763671875,1.0
15.0,1643.0,2142.0,521.0,0.727447216890595,0.14695143699645996,0.2596096992492676,0.006242036819458008,0.00041866302490234375,1.0
30.0,1643.0,1705.0,498.0,0.751004016064257,0.1582190990447998,0.32863831520080566,0.004976987838745117,0.00041937828063964844,1.0
45.0,1643.0,1668.0,517.0,0.7369439071566731,0.17307686805725098,0.31380701065063477,0.004911899566650391,0.00040793418884277344,1.0
60.0,1643.0,1755.0,525.0,0.638095238095238,0.16332435607910156,0.30855274200439453,0.005232334136962891,0.000530242919921875,1.0
75.0,1643.0,2129.0,500.0,0.756,0.15597033500671387,0.27374839782714844,0.0062160491943359375,0.0003867149353027344,1.0
90.0,1643.0,1522.0,585.0,0.7897435897435897,0.11136817932128906,0.15443801879882812,0.004920244216918945,0.00038695335388183594,1.0
105.0,1643.0,2138.0,518.0,0.7316602316602316,0.15473508834838867,0.2659323215484619,0.006209135055541992,0.0005261898040771484,1.0
120.0,1643.0,1709.0,499.0,0.7454909819639278,0.15597295761108398,0.31472277641296387,0.004996299743652344,0.0004131793975830078,1.0
135.0,1643.0,1661.0,515.0,0.7495145631067961,0.1537628173828125,0.3092927932739258,0.005848407745361328,0.00042366981506347656,1.0
150.0,1643.0,1755.0,520.0,0.7442307692307693,0.16051316261291504,0.29500889778137207,0.00514531135559082,0.0003991127014160156,1.0
165.0,1643.0,2128.0,478.0,0.7782426778242678,0.16435861587524414,0.2591423988342285,0.006186723709106445,0.00041365623474121094,1.0
180.0,1643.0,1516.0,626.0,0.7891373801916933,0.1217195987701416,0.15761756896972656,0.0063588619232177734,0.00028777122497558594,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1643,1524,642,0.794392523364486,0.155958890914917,0.1633312702178955,0.004680156707763672,0.00039458274841308594,1
1.5,1643,2648,502,0.6633466135458167,0.15967392921447754,0.36927032470703125,0.007769346237182617,0.0004792213439941406,1
2.0,1643,3774,320,0.465625,0.15584063529968262,0.6731035709381104,0.010782480239868164,0.0011053085327148438,1
2.5,1643,4989,408,0.4117647058823529,0.1701810359954834,1.0841269493103027,0.01476287841796875,0.0017523765563964844,1
3.0,1643,5974,351,0.4045584045584046,0.16734027862548828,1.6413788795471191,0.018740415573120117,0.0018017292022705078,1
3.5,1643,6767,353,0.33994334277620397,0.1518237590789795,2.3090736865997314,0.018500328063964844,0.003589630126953125,1
4.0,1643,7429,329,0.3343465045592705,0.1555624008178711,2.9610257148742676,0.020688772201538086,0.003684520721435547,1
4.5,1643,7908,291,0.33676975945017185,0.1508798599243164,3.757772445678711,0.02212357521057129,0.004194736480712891,1
5.0,1643,8389,301,0.3488372093023256,0.14943504333496094,4.673441648483276,0.022510766983032227,0.003116607666015625,1
