Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,5810.0,7185.0,1289.0,0.8363072148952676,0.014887094497680664,1.6332883834838867,0.06424188613891602,0.0008416175842285156,1.0
15.0,5810.0,7841.0,891.0,0.8058361391694725,0.014974117279052734,0.027835607528686523,0.06822991371154785,0.0005030632019042969,1.0
30.0,5810.0,6835.0,799.0,0.804755944931164,0.014966487884521484,0.023694992065429688,0.07296586036682129,0.0005648136138916016,1.0
45.0,5810.0,6838.0,802.0,0.7855361596009975,0.014904260635375977,0.0275266170501709,0.061951637268066406,0.00046944618225097656,1.0
60.0,5810.0,7833.0,885.0,0.7220338983050848,0.01597309112548828,0.026671648025512695,0.07143568992614746,0.0005316734313964844,1.0
75.0,5810.0,7517.0,861.0,0.7932636469221835,0.015682458877563477,0.023636341094970703,0.07364773750305176,0.0005638599395751953,1.0
90.0,5810.0,7128.0,1233.0,0.8450932684509327,0.0150604248046875,0.022160053253173828,0.06863260269165039,0.0007481575012207031,1.0
105.0,5810.0,7829.0,864.0,0.8101851851851852,0.016331195831298828,0.023083925247192383,0.07439398765563965,0.0004975795745849609,1.0
120.0,5810.0,6881.0,784.0,0.8214285714285714,0.015424251556396484,0.024740934371948242,0.061333656311035156,0.0007040500640869141,1.0
135.0,5810.0,6807.0,805.0,0.808695652173913,0.014726877212524414,0.0259857177734375,0.06058049201965332,0.0004899501800537109,1.0
150.0,5810.0,7865.0,915.0,0.746448087431694,0.014683961868286133,0.02573227882385254,0.06957292556762695,0.0005838871002197266,1.0
165.0,5810.0,7528.0,870.0,0.7919540229885057,0.014390945434570312,0.024492263793945312,0.06623363494873047,0.0005221366882324219,1.0
180.0,5810.0,7167.0,1180.0,0.8194915254237288,0.014879226684570312,0.019783973693847656,0.06373476982116699,0.0007889270782470703,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,5810,7185,1289,0.8363072148952676,0.014965295791625977,0.02642536163330078,0.06541037559509277,0.0008542537689208984,1
1.5,5810,10899,895,0.7329608938547486,0.015723705291748047,0.04401350021362305,0.09760308265686035,0.0007600784301757812,1
2.0,5810,13564,696,0.7270114942528736,0.014876842498779297,0.05751156806945801,0.1217498779296875,0.0004975795745849609,1
2.5,5810,16444,631,0.7622820919175911,0.0148773193359375,0.07785439491271973,0.1469130516052246,0.00042176246643066406,1
3.0,5810,20725,520,0.7615384615384615,0.01441812515258789,0.10649418830871582,0.1874401569366455,0.0004000663757324219,1
3.5,5810,22576,334,0.6706586826347305,0.014795780181884766,0.11641693115234375,0.19658422470092773,0.00039649009704589844,1
4.0,5810,24355,187,0.5882352941176471,0.014627456665039062,0.12467837333679199,0.2131807804107666,0.0005075931549072266,1
4.5,5810,26843,102,0.18627450980392157,0.0150146484375,0.1482987403869629,0.2354896068572998,0.01819753646850586,1
5.0,5810,28549,61,0.13114754098360656,0.015150070190429688,0.17136383056640625,0.2491741180419922,0.0180661678314209,-1
