Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,774.0,726.0,219.0,0.9680365296803652,0.3762829303741455,0.8520011901855469,0.0019519329071044922,0.0002396106719970703,1.0
15.0,774.0,834.0,124.0,0.8951612903225806,0.3733367919921875,0.920114278793335,0.002256631851196289,0.00025010108947753906,1.0
30.0,774.0,856.0,132.0,0.8863636363636364,0.3712942600250244,1.0044763088226318,0.0021250247955322266,0.0002579689025878906,1.0
45.0,774.0,873.0,135.0,0.8962962962962963,0.3726377487182617,1.00197434425354,0.002530336380004883,0.0002803802490234375,1.0
60.0,774.0,848.0,124.0,0.9193548387096774,0.36945390701293945,0.9952232837677002,0.0021104812622070312,0.0002644062042236328,1.0
75.0,774.0,839.0,119.0,0.907563025210084,0.3703134059906006,0.9173121452331543,0.0032079219818115234,0.0002028942108154297,1.0
90.0,774.0,766.0,130.0,0.9384615384615385,0.3715837001800537,0.7586750984191895,0.002136707305908203,0.0002295970916748047,1.0
105.0,774.0,850.0,111.0,0.8288288288288288,0.36246442794799805,0.8909413814544678,0.0023860931396484375,0.0004000663757324219,1.0
120.0,774.0,870.0,84.0,0.8928571428571429,0.3891561031341553,0.9814152717590332,0.0023369789123535156,0.0002772808074951172,1.0
135.0,774.0,872.0,81.0,0.8271604938271605,0.36487507820129395,1.0164883136749268,0.0024306774139404297,0.0003101825714111328,1.0
150.0,774.0,851.0,85.0,0.8352941176470589,0.3642916679382324,1.013988733291626,0.0023615360260009766,0.0002944469451904297,1.0
165.0,774.0,819.0,83.0,0.8192771084337349,0.37294459342956543,0.9051620960235596,0.002214670181274414,0.00033164024353027344,1.0
180.0,774.0,766.0,93.0,0.8602150537634409,0.3723604679107666,0.7831542491912842,0.004895925521850586,0.0003178119659423828,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,774,726,219,0.9680365296803652,0.3801252841949463,0.7752423286437988,0.001880645751953125,0.00020647048950195312,1
1.5,774,1509,131,0.9007633587786259,0.36968278884887695,1.2184796333312988,0.003871440887451172,0.00020170211791992188,1
2.0,774,1965,147,0.891156462585034,0.3735082149505615,1.4482066631317139,0.006263256072998047,0.00021386146545410156,1
2.5,774,2280,130,0.8461538461538461,0.3621385097503662,1.680943250656128,0.0059659481048583984,0.0002646446228027344,1
3.0,774,2364,131,0.8625954198473282,0.3845555782318115,1.898451805114746,0.0055158138275146484,0.00022220611572265625,1
3.5,774,2410,127,0.8818897637795275,0.3729262351989746,2.1708550453186035,0.006188392639160156,0.0002105236053466797,1
4.0,774,2361,138,0.8913043478260869,0.38014745712280273,2.3980712890625,0.0075533390045166016,0.0002880096435546875,1
4.5,774,2114,119,0.907563025210084,0.37239885330200195,2.6416139602661133,0.005216836929321289,0.00019025802612304688,1
5.0,774,2206,130,0.8846153846153846,0.37425923347473145,3.0018632411956787,0.0064697265625,0.0002627372741699219,1
