Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,9253.0,7377.0,2187.0,0.8248742569730224,0.47655487060546875,2.058971405029297,0.10537362098693848,0.0011975765228271484,1.0
15.0,9253.0,6539.0,614.0,0.6368078175895765,0.4498319625854492,0.4048752784729004,0.0923316478729248,0.0005469322204589844,1.0
30.0,9253.0,8997.0,389.0,0.5886889460154242,0.4647867679595947,0.5143163204193115,0.1269373893737793,0.0005402565002441406,1.0
45.0,9253.0,5968.0,392.0,0.5943877551020408,0.47200465202331543,0.3784663677215576,0.08329129219055176,0.0005407333374023438,1.0
60.0,9253.0,7818.0,397.0,0.6120906801007556,0.4459226131439209,0.3791077136993408,0.12076067924499512,0.0004980564117431641,1.0
75.0,9253.0,7215.0,610.0,0.6032786885245902,0.45548105239868164,0.3667473793029785,0.10439085960388184,0.0006325244903564453,1.0
90.0,9253.0,7384.0,1925.0,0.788051948051948,0.45947957038879395,0.4514448642730713,0.10364890098571777,0.0008859634399414062,1.0
105.0,9253.0,6626.0,608.0,0.5822368421052632,0.44637441635131836,0.40131473541259766,0.09396052360534668,0.0006504058837890625,1.0
120.0,9253.0,9070.0,380.0,0.5631578947368421,0.46994519233703613,0.5425317287445068,0.12756943702697754,0.0006465911865234375,1.0
135.0,9253.0,6024.0,384.0,0.6145833333333334,0.44993114471435547,0.42331647872924805,0.08463454246520996,0.0004925727844238281,1.0
150.0,9253.0,7857.0,387.0,0.6046511627906976,0.44805240631103516,0.3735189437866211,0.11247420310974121,0.0005099773406982422,1.0
165.0,9253.0,7196.0,599.0,0.6444073455759599,0.45636415481567383,0.3497588634490967,0.10191679000854492,0.0005209445953369141,1.0
180.0,9253.0,7382.0,1849.0,0.7879935100054083,0.4649922847747803,0.43363499641418457,0.10437178611755371,0.0008172988891601562,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,9253,7377,2187,0.8248742569730224,0.465029239654541,0.4467439651489258,0.10398507118225098,0.00103759765625,1
1.5,9253,10923,1265,0.5312252964426878,0.46540093421936035,0.7241432666778564,0.15357375144958496,0.0010523796081542969,1
2.0,9253,13356,1453,0.660013764624914,0.44794797897338867,1.0312187671661377,0.18602657318115234,0.0007624626159667969,1
2.5,9253,19448,1400,0.48214285714285715,0.44991397857666016,1.4171955585479736,0.27030229568481445,0.0016863346099853516,1
3.0,9253,23547,1285,0.5066147859922179,0.44696688652038574,1.7710328102111816,0.34096741676330566,0.0011074542999267578,1
3.5,9253,25700,1298,0.46070878274268107,0.4647848606109619,2.090041160583496,0.3620438575744629,0.0014567375183105469,1
4.0,9253,30085,1734,0.5213379469434832,0.4721205234527588,2.597785234451294,0.4211859703063965,0.0011935234069824219,1
4.5,9253,35134,1476,0.3794037940379404,0.4466252326965332,3.138070821762085,0.49770689010620117,0.0030226707458496094,1
5.0,9253,39123,1510,0.4019867549668874,0.4667093753814697,4.030568838119507,0.5416305065155029,0.0024766921997070312,1
