Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,3080.0,2218.0,597.0,0.949748743718593,1.9671783447265625,3.2663590908050537,0.02111983299255371,0.0005402565002441406,1.0
15.0,3080.0,2328.0,510.0,0.9470588235294117,1.926337480545044,2.0711047649383545,0.020924091339111328,0.0004367828369140625,1.0
30.0,3080.0,2425.0,484.0,0.9380165289256198,1.919213056564331,2.407414674758911,0.021610736846923828,0.0004191398620605469,1.0
45.0,3080.0,2438.0,497.0,0.9175050301810865,1.9413354396820068,2.5517780780792236,0.025690317153930664,0.0004334449768066406,1.0
60.0,3080.0,2407.0,482.0,0.946058091286307,1.938241958618164,2.4782321453094482,0.022032499313354492,0.0003230571746826172,1.0
75.0,3080.0,2304.0,477.0,0.9433962264150944,1.9388465881347656,2.044203519821167,0.022900819778442383,0.0003695487976074219,1.0
90.0,3080.0,2171.0,514.0,0.9377431906614786,1.9551293849945068,1.4705069065093994,0.021390438079833984,0.0003826618194580078,1.0
105.0,3080.0,2284.0,478.0,0.9518828451882845,1.919663667678833,1.985222339630127,0.020054340362548828,0.0003745555877685547,1.0
120.0,3080.0,2419.0,492.0,0.943089430894309,1.928739309310913,2.4972758293151855,0.02445840835571289,0.00037288665771484375,1.0
135.0,3080.0,2464.0,486.0,0.9403292181069959,1.9228549003601074,2.53851318359375,0.02406167984008789,0.0003693103790283203,1.0
150.0,3080.0,2329.0,474.0,0.9514767932489452,1.9146146774291992,2.3659417629241943,0.02423882484436035,0.00035262107849121094,1.0
165.0,3080.0,2253.0,496.0,0.9415322580645161,1.9166758060455322,1.9393489360809326,0.023436784744262695,0.0003464221954345703,1.0
180.0,3080.0,2202.0,484.0,0.9380165289256198,1.8941872119903564,1.4157090187072754,0.022594213485717773,0.0003445148468017578,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,3080,2218,597,0.949748743718593,1.911938190460205,1.4176814556121826,0.021951913833618164,0.0004787445068359375,1
1.5,3080,7995,488,0.9262295081967213,1.9384455680847168,4.504000902175903,0.06973791122436523,0.00037384033203125,1
2.0,3080,2178,516,0.9515503875968992,1.8675687313079834,4.252415657043457,0.020623445510864258,0.00046372413635253906,1
2.5,3080,6809,537,0.9292364990689013,1.8930110931396484,7.869335889816284,0.0631718635559082,0.0003609657287597656,1
3.0,3080,8273,471,0.9193205944798302,1.8716073036193848,12.048933744430542,0.07466983795166016,0.0003662109375,1
3.5,3080,10053,516,0.9224806201550387,1.8760244846343994,16.18462896347046,0.09044837951660156,0.0003323554992675781,1
4.0,3080,2153,509,0.9528487229862476,1.8761444091796875,16.355420112609863,0.020972728729248047,0.0003504753112792969,1
4.5,3080,5344,492,0.9105691056910569,1.9156241416931152,20.207223892211914,0.05179286003112793,0.0003635883331298828,1
5.0,3080,6931,549,0.9271402550091075,1.8920726776123047,25.23255944252014,0.06490421295166016,0.0003399848937988281,1
