Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,872.0,1137.0,146.0,0.7534246575342466,0.09631943702697754,0.2127094268798828,0.0021924972534179688,0.00031495094299316406,1.0
15.0,872.0,1610.0,138.0,0.7318840579710145,0.0892951488494873,0.31040453910827637,0.0028221607208251953,0.00031447410583496094,1.0
30.0,872.0,1389.0,142.0,0.7112676056338029,0.13116860389709473,0.4871339797973633,0.002493619918823242,0.0003256797790527344,1.0
45.0,872.0,1099.0,131.0,0.7938931297709924,0.12830853462219238,0.46057558059692383,0.0020372867584228516,0.00033855438232421875,1.0
60.0,872.0,1415.0,139.0,0.7553956834532374,0.14276623725891113,0.48421549797058105,0.002585887908935547,0.0004115104675292969,1.0
75.0,872.0,1567.0,141.0,0.7021276595744681,0.1347355842590332,0.3830223083496094,0.002679109573364258,0.0003230571746826172,1.0
90.0,872.0,1139.0,142.0,0.7676056338028169,0.13292646408081055,0.22470569610595703,0.001992940902709961,0.0003237724304199219,1.0
105.0,872.0,1609.0,137.0,0.7299270072992701,0.1342473030090332,0.3872194290161133,0.0027213096618652344,0.0002830028533935547,1.0
120.0,872.0,1357.0,142.0,0.7253521126760564,0.14179348945617676,0.4646306037902832,0.0024335384368896484,0.0003077983856201172,1.0
135.0,872.0,1098.0,134.0,0.8134328358208955,0.12748003005981445,0.4675004482269287,0.0019385814666748047,0.0002994537353515625,1.0
150.0,872.0,1422.0,139.0,0.7553956834532374,0.13149666786193848,0.47284579277038574,0.003250598907470703,0.0002753734588623047,1.0
165.0,872.0,1571.0,134.0,0.7014925373134329,0.1393446922302246,0.365999698638916,0.0029892921447753906,0.0003566741943359375,1.0
180.0,872.0,1120.0,145.0,0.7724137931034483,0.1292586326599121,0.24541997909545898,0.0019381046295166016,0.0003314018249511719,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,872,1137,146,0.7534246575342466,0.13567590713500977,0.23786020278930664,0.00211334228515625,0.00034117698669433594,1
1.5,872,2927,178,0.4044943820224719,0.09967565536499023,0.5155994892120361,0.004937887191772461,0.0017845630645751953,1
2.0,872,4786,204,0.23039215686274508,0.13778066635131836,1.0257670879364014,0.01117253303527832,0.019449472427368164,-1
2.5,872,6371,192,0.234375,0.1285862922668457,1.6618154048919678,0.012644767761230469,0.014564037322998047,1
3.0,872,7972,201,0.24378109452736318,0.13590097427368164,2.4764513969421387,0.013196468353271484,0.01450347900390625,-1
3.5,872,9218,199,0.2613065326633166,0.12869024276733398,3.4177310466766357,0.015320301055908203,0.010901927947998047,1
4.0,872,10237,196,0.23979591836734693,0.11857151985168457,4.3302857875823975,0.016194581985473633,0.015347003936767578,1
4.5,872,11371,178,0.25280898876404495,0.12373805046081543,5.488146066665649,0.018318891525268555,0.012090921401977539,1
5.0,872,12206,200,0.2,0.12002944946289062,6.7299439907073975,0.020833730697631836,0.018670082092285156,1
