Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1698.0,1211.0,514.0,0.9747081712062257,0.11458015441894531,0.06475591659545898,0.011343955993652344,0.00032448768615722656,1.0
15.0,1698.0,1289.0,347.0,0.9596541786743515,0.12151622772216797,0.10859251022338867,0.013556957244873047,0.0004096031188964844,1.0
30.0,1698.0,1315.0,340.0,0.9441176470588235,0.11130833625793457,0.14461612701416016,0.01287984848022461,0.00029850006103515625,1.0
45.0,1698.0,1302.0,355.0,0.9098591549295775,0.11675834655761719,0.15398693084716797,0.012089252471923828,0.0002906322479248047,1.0
60.0,1698.0,1327.0,360.0,0.9416666666666667,0.10926032066345215,0.1485004425048828,0.012599468231201172,0.0003066062927246094,1.0
75.0,1698.0,1318.0,382.0,0.9528795811518325,0.1134958267211914,0.1067357063293457,0.013447761535644531,0.0003032684326171875,1.0
90.0,1698.0,1207.0,464.0,0.9612068965517241,0.11334586143493652,0.06177830696105957,0.012130975723266602,0.00032830238342285156,1.0
105.0,1698.0,1287.0,364.0,0.9532967032967034,0.11864972114562988,0.10833024978637695,0.012392759323120117,0.0002980232238769531,1.0
120.0,1698.0,1315.0,353.0,0.9490084985835694,0.11622834205627441,0.1445615291595459,0.012292146682739258,0.00026702880859375,1.0
135.0,1698.0,1309.0,365.0,0.9424657534246575,0.11533546447753906,0.1609194278717041,0.011986970901489258,0.00026988983154296875,1.0
150.0,1698.0,1335.0,361.0,0.9501385041551247,0.11794400215148926,0.14989113807678223,0.014844417572021484,0.0002853870391845703,1.0
165.0,1698.0,1319.0,377.0,0.9575596816976127,0.1086280345916748,0.09932088851928711,0.013437747955322266,0.0003426074981689453,1.0
180.0,1698.0,1198.0,502.0,0.9760956175298805,0.11080121994018555,0.057283878326416016,0.011198997497558594,0.00036978721618652344,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1698,1211,514,0.9747081712062257,0.10666108131408691,0.059247732162475586,0.0113067626953125,0.00030159950256347656,1
1.5,1698,2336,234,0.8760683760683761,0.1197364330291748,0.1629323959350586,0.022420406341552734,0.00023365020751953125,1
2.0,1698,3537,316,0.8417721518987342,0.11131596565246582,0.2996242046356201,0.03295540809631348,0.00030350685119628906,1
2.5,1698,4661,147,0.7414965986394558,0.10247349739074707,0.4458341598510742,0.04657149314880371,0.000278472900390625,1
3.0,1698,5989,231,0.7186147186147186,0.10573410987854004,0.624384880065918,0.05332016944885254,0.00030994415283203125,1
3.5,1698,7122,152,0.4868421052631579,0.09525418281555176,0.8797383308410645,0.06340837478637695,0.0009210109710693359,1
4.0,1698,8259,282,0.6773049645390071,0.0928950309753418,1.1791777610778809,0.07471108436584473,0.0003676414489746094,1
4.5,1698,9280,172,0.5058139534883721,0.09821414947509766,1.4876694679260254,0.0846261978149414,0.0007643699645996094,1
5.0,1698,10150,181,0.5193370165745856,0.10499000549316406,1.8421978950500488,0.09129023551940918,0.0007169246673583984,1
