Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,14217.0,9483.0,1636.0,0.9572127139364304,0.22658324241638184,0.15930676460266113,0.22139954566955566,0.0008873939514160156,1.0
15.0,14217.0,9791.0,898.0,0.8285077951002228,0.21425485610961914,0.17122912406921387,0.22758150100708008,0.0006005764007568359,1.0
30.0,14217.0,12373.0,911.0,0.9626783754116356,0.21933889389038086,0.21247410774230957,0.2882876396179199,0.0004951953887939453,1.0
45.0,14217.0,9995.0,890.0,0.946067415730337,0.22452759742736816,0.18790149688720703,0.23244047164916992,0.00046825408935546875,1.0
60.0,14217.0,12487.0,888.0,0.9470720720720721,0.21529197692871094,0.21056246757507324,0.2902994155883789,0.00048065185546875,1.0
75.0,14217.0,9856.0,939.0,0.9073482428115016,0.21831989288330078,0.17739200592041016,0.23033952713012695,0.0006053447723388672,1.0
90.0,14217.0,9456.0,1338.0,0.9484304932735426,0.21990418434143066,0.1593179702758789,0.2269287109375,0.0007042884826660156,1.0
105.0,14217.0,9850.0,846.0,0.9515366430260047,0.2224292755126953,0.1835155487060547,0.22890567779541016,0.0005209445953369141,1.0
120.0,14217.0,12570.0,799.0,0.9361702127659575,0.2138059139251709,0.2218918800354004,0.2927873134613037,0.00045800209045410156,1.0
135.0,14217.0,10267.0,790.0,0.8253164556962025,0.22313618659973145,0.19392657279968262,0.24043846130371094,0.0005545616149902344,1.0
150.0,14217.0,12627.0,879.0,0.9294653014789533,0.22365713119506836,0.2223970890045166,0.2940244674682617,0.0004742145538330078,1.0
165.0,14217.0,9867.0,866.0,0.859122401847575,0.2176971435546875,0.1744539737701416,0.23423027992248535,0.000453948974609375,1.0
180.0,14217.0,9470.0,1204.0,0.9476744186046512,0.22610163688659668,0.1547260284423828,0.22455573081970215,0.0006074905395507812,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,14217,9483,1636,0.9572127139364304,0.22403788566589355,0.1516416072845459,0.2200784683227539,0.0009145736694335938,1
1.5,14217,12038,1163,0.8632846087704213,0.21396756172180176,0.22370600700378418,0.2816898822784424,0.0005972385406494141,1
2.0,14217,15502,1159,0.9430543572044866,0.2243356704711914,0.3228282928466797,0.361644983291626,0.0005843639373779297,1
2.5,14217,15259,1184,0.8353040540540541,0.22551918029785156,0.3953378200531006,0.365039587020874,0.0007624626159667969,1
3.0,14217,14715,1253,0.9010375099760575,0.21536922454833984,0.468198299407959,0.34058427810668945,0.0006151199340820312,1
3.5,14217,13469,1006,0.9284294234592445,0.22170424461364746,0.5566632747650146,0.31205224990844727,0.0005240440368652344,1
4.0,14217,12577,1040,0.9586538461538462,0.22232747077941895,0.6439125537872314,0.2923166751861572,0.0005495548248291016,1
4.5,14217,12252,761,0.9474375821287779,0.21370697021484375,0.7432060241699219,0.2938215732574463,0.0005097389221191406,1
5.0,14217,12738,842,0.9560570071258907,0.22151589393615723,0.885624885559082,0.30417513847351074,0.0004425048828125,1
