Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,3805.0,4764.0,598.0,0.9096989966555183,0.012862682342529297,1.6408195495605469,0.030115842819213867,0.00044655799865722656,1.0
15.0,3805.0,5340.0,363.0,0.7851239669421488,0.011406660079956055,0.0198974609375,0.03188776969909668,0.0003814697265625,1.0
30.0,3805.0,5937.0,350.0,0.7571428571428571,0.010512590408325195,0.02196669578552246,0.040374040603637695,0.0003657341003417969,1.0
45.0,3805.0,5646.0,340.0,0.7147058823529412,0.01140904426574707,0.022129535675048828,0.03805828094482422,0.0004267692565917969,1.0
60.0,3805.0,5921.0,361.0,0.7922437673130194,0.011218070983886719,0.019825458526611328,0.037926435470581055,0.000354766845703125,1.0
75.0,3805.0,5271.0,332.0,0.6837349397590361,0.010434627532958984,0.02311563491821289,0.031354427337646484,0.00039076805114746094,-1.0
90.0,3805.0,4711.0,571.0,0.8966725043782837,0.010471820831298828,0.018886566162109375,0.028050661087036133,0.0003681182861328125,1.0
105.0,3805.0,5349.0,355.0,0.828169014084507,0.01217508316040039,0.01824188232421875,0.03442859649658203,0.0003509521484375,1.0
120.0,3805.0,5974.0,352.0,0.7130681818181818,0.010478734970092773,0.02762603759765625,0.03602862358093262,0.0003910064697265625,1.0
135.0,3805.0,5622.0,344.0,0.8430232558139535,0.01051783561706543,0.02012014389038086,0.034857749938964844,0.0003056526184082031,1.0
150.0,3805.0,5954.0,356.0,0.7162921348314607,0.010598897933959961,0.021332979202270508,0.03612089157104492,0.0004093647003173828,1.0
165.0,3805.0,5297.0,325.0,0.7353846153846154,0.010452747344970703,0.016583919525146484,0.03362894058227539,0.00035762786865234375,-1.0
180.0,3805.0,4681.0,566.0,0.8780918727915195,0.010909318923950195,0.021902799606323242,0.02965521812438965,0.00038361549377441406,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,3805,4764,598,0.9096989966555183,0.01098489761352539,0.02412700653076172,0.028810501098632812,0.00041675567626953125,1
1.5,3805,9731,370,0.7972972972972973,0.011538505554199219,0.03403282165527344,0.0597844123840332,0.0003342628479003906,1
2.0,3805,15187,289,0.7370242214532872,0.016538619995117188,0.06010270118713379,0.09567451477050781,0.0003795623779296875,1
2.5,3805,20443,309,0.8122977346278317,0.01061391830444336,0.08703041076660156,0.12669825553894043,0.0002982616424560547,1
3.0,3805,24930,260,0.8076923076923077,0.01049947738647461,0.07963395118713379,0.14665913581848145,0.00029754638671875,1
3.5,3805,28088,171,0.672514619883041,0.011053323745727539,0.10538887977600098,0.16509103775024414,0.00035071372985839844,1
4.0,3805,30279,96,0.5833333333333334,0.010365009307861328,0.11734199523925781,0.17956876754760742,0.0005013942718505859,1
4.5,3805,31601,55,0.2909090909090909,0.01101064682006836,0.13643193244934082,0.18574070930480957,0.0064694881439208984,1
5.0,3805,32408,31,0.22580645161290322,0.010737419128417969,0.14892983436584473,0.19019675254821777,0.018268108367919922,-1
