Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,4088.0,2547.0,1012.0,0.8507905138339921,0.7497570514678955,0.632514476776123,0.029723405838012695,0.0005490779876708984,1.0
15.0,4088.0,3945.0,1066.0,0.649155722326454,0.7397482395172119,1.0357296466827393,0.044962167739868164,0.0006465911865234375,1.0
30.0,4088.0,3640.0,951.0,0.6929547844374343,0.7147390842437744,1.3291518688201904,0.04319405555725098,0.0005712509155273438,1.0
45.0,4088.0,3369.0,877.0,0.7730900798175598,0.7752366065979004,1.4275169372558594,0.04431724548339844,0.0004329681396484375,1.0
60.0,4088.0,3599.0,974.0,0.6878850102669405,0.7112386226654053,1.3708479404449463,0.03844809532165527,0.0005834102630615234,1.0
75.0,4088.0,3830.0,964.0,0.6742738589211619,0.7272326946258545,1.0444741249084473,0.04082465171813965,0.00058746337890625,1.0
90.0,4088.0,2515.0,927.0,0.8284789644012945,0.7379398345947266,0.6419973373413086,0.028649091720581055,0.0005209445953369141,1.0
105.0,4088.0,3905.0,1041.0,0.6455331412103746,0.7422380447387695,1.0445926189422607,0.04184532165527344,0.0006556510925292969,1.0
120.0,4088.0,3638.0,967.0,0.704239917269907,0.6498656272888184,1.2543599605560303,0.04248452186584473,0.0006222724914550781,1.0
135.0,4088.0,3409.0,889.0,0.7604049493813273,0.6056044101715088,1.252753496170044,0.03710603713989258,0.00042724609375,1.0
150.0,4088.0,3542.0,963.0,0.6905503634475597,0.7174324989318848,1.316011667251587,0.03976702690124512,0.0005741119384765625,1.0
165.0,4088.0,3781.0,979.0,0.6721144024514811,0.7168059349060059,1.0356104373931885,0.03868865966796875,0.0005619525909423828,1.0
180.0,4088.0,2548.0,889.0,0.8200224971878515,0.7408030033111572,0.6247801780700684,0.029585599899291992,0.0004668235778808594,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,4088,2547,1012,0.8507905138339921,0.7637209892272949,0.6571094989776611,0.030986785888671875,0.0005207061767578125,1
1.5,4088,8856,1791,0.3646007816862088,0.7613110542297363,1.485363483428955,0.10108017921447754,0.003993511199951172,1
2.0,4088,9023,1556,0.4473007712082262,0.7338728904724121,2.738295793533325,0.1022186279296875,0.00162506103515625,1
2.5,4088,9277,1669,0.41881366087477534,0.729541540145874,4.132570028305054,0.11574816703796387,0.002523660659790039,1
3.0,4088,9887,2023,0.314878892733564,0.7326047420501709,5.735358715057373,0.1098337173461914,0.007270336151123047,1
3.5,4088,8069,1257,0.4669848846459825,0.7234303951263428,7.681214094161987,0.08362627029418945,0.001397848129272461,1
4.0,4088,9063,1423,0.5193253689388616,0.6421005725860596,10.600544691085815,0.10086894035339355,0.001039743423461914,1
4.5,4088,8707,1358,0.39248895434462444,0.7057445049285889,12.618117094039917,0.09365057945251465,0.00359344482421875,1
5.0,4088,8926,1749,0.4013722126929674,0.7504143714904785,16.075992107391357,0.09390091896057129,0.0026988983154296875,1
