Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,460.0,474.0,65.0,0.8307692307692308,0.21235251426696777,1.9403011798858643,0.0034258365631103516,0.0002429485321044922,1.0
15.0,460.0,516.0,50.0,0.88,0.20490765571594238,0.3645639419555664,0.0008120536804199219,0.0002219676971435547,1.0
30.0,460.0,503.0,44.0,0.8181818181818182,0.19350600242614746,0.40569376945495605,0.0008862018585205078,0.00028061866760253906,1.0
45.0,460.0,495.0,47.0,0.7659574468085106,0.19199895858764648,0.4061455726623535,0.0008835792541503906,0.00030803680419921875,1.0
60.0,460.0,489.0,45.0,0.8,0.20059537887573242,0.3790881633758545,0.0009388923645019531,0.00031256675720214844,1.0
75.0,460.0,514.0,56.0,0.75,0.20497751235961914,0.3373727798461914,0.0008690357208251953,0.0003330707550048828,1.0
90.0,460.0,471.0,65.0,0.8307692307692308,0.19252228736877441,0.2559993267059326,0.000843048095703125,0.0002658367156982422,1.0
105.0,460.0,506.0,48.0,0.875,0.19870233535766602,0.3505830764770508,0.0008416175842285156,0.00025844573974609375,1.0
120.0,460.0,501.0,44.0,0.8181818181818182,0.2033863067626953,0.4100790023803711,0.0008821487426757812,0.0002684593200683594,1.0
135.0,460.0,516.0,48.0,0.75,0.19571781158447266,0.4528346061706543,0.0009009838104248047,0.0003159046173095703,1.0
150.0,460.0,524.0,47.0,0.8085106382978723,0.19432711601257324,0.39655017852783203,0.0008969306945800781,0.0003120899200439453,1.0
165.0,460.0,515.0,53.0,0.7169811320754716,0.1957569122314453,0.34287476539611816,0.0008540153503417969,0.0003559589385986328,1.0
180.0,460.0,502.0,65.0,0.8461538461538461,0.20083880424499512,0.2746264934539795,0.0008499622344970703,0.00026297569274902344,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,460,474,65,0.8307692307692308,0.19870853424072266,0.23945355415344238,0.001588582992553711,0.0002014636993408203,1
1.5,460,2445,93,0.5483870967741935,0.19916701316833496,0.9600679874420166,0.0038666725158691406,0.0007908344268798828,1
2.0,460,6093,103,0.4563106796116505,0.19151830673217773,3.1737258434295654,0.009296417236328125,0.0013203620910644531,1
2.5,460,11399,107,0.42990654205607476,0.19646906852722168,6.772536039352417,0.019814252853393555,0.0017004013061523438,1
3.0,460,2549,98,0.4897959183673469,0.1963803768157959,1.8280582427978516,0.004433631896972656,0.000946044921875,1
3.5,460,4018,101,0.4752475247524752,0.20335721969604492,2.710617780685425,0.006445884704589844,0.0010223388671875,1
4.0,460,6154,102,0.43137254901960786,0.20251131057739258,4.284865379333496,0.010477542877197266,0.0013897418975830078,1
4.5,460,8841,108,0.46296296296296297,0.20065951347351074,6.33211350440979,0.015566349029541016,0.0013637542724609375,1
5.0,460,11250,103,0.4077669902912621,0.21221375465393066,9.050644874572754,0.01877427101135254,0.0020160675048828125,1
