Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1953.0,2399.0,282.0,0.950354609929078,0.02873539924621582,0.03546643257141113,0.009395599365234375,0.0002868175506591797,1.0
15.0,1953.0,2228.0,116.0,0.8017241379310345,0.029171466827392578,0.036655426025390625,0.008077383041381836,0.000301361083984375,1.0
30.0,1953.0,2479.0,97.0,0.8865979381443299,0.029253244400024414,0.04271864891052246,0.010138273239135742,0.0002186298370361328,1.0
45.0,1953.0,2305.0,112.0,0.8482142857142857,0.03084278106689453,0.0459599494934082,0.009177684783935547,0.00034618377685546875,1.0
60.0,1953.0,2482.0,99.0,0.6868686868686869,0.029569149017333984,0.043936967849731445,0.008967161178588867,0.00034236907958984375,1.0
75.0,1953.0,2236.0,109.0,0.7155963302752294,0.029336214065551758,0.03690385818481445,0.008033990859985352,0.000316619873046875,1.0
90.0,1953.0,2415.0,252.0,0.9047619047619048,0.029368877410888672,0.03615260124206543,0.008709430694580078,0.00029158592224121094,1.0
105.0,1953.0,2256.0,106.0,0.8773584905660378,0.02866840362548828,0.03621339797973633,0.008319854736328125,0.0003085136413574219,1.0
120.0,1953.0,2461.0,101.0,0.8514851485148515,0.030625104904174805,0.04282784461975098,0.008861064910888672,0.0002002716064453125,1.0
135.0,1953.0,2348.0,115.0,0.8434782608695652,0.02932119369506836,0.03984236717224121,0.008443355560302734,0.00023674964904785156,1.0
150.0,1953.0,2489.0,98.0,0.7244897959183674,0.029290437698364258,0.04495668411254883,0.010184526443481445,0.00029015541076660156,1.0
165.0,1953.0,2238.0,115.0,0.8782608695652174,0.029386520385742188,0.03900885581970215,0.00807499885559082,0.00021028518676757812,1.0
180.0,1953.0,2424.0,225.0,0.9155555555555556,0.029144287109375,0.03635549545288086,0.009261846542358398,0.0002779960632324219,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1953,2399,282,0.950354609929078,0.02982354164123535,0.03495907783508301,0.00880885124206543,0.0002465248107910156,1
1.5,1953,3611,107,0.794392523364486,0.0285189151763916,0.05834674835205078,0.012585163116455078,0.00025534629821777344,1
2.0,1953,5497,129,0.7596899224806202,0.02845144271850586,0.0844733715057373,0.019089698791503906,0.0003211498260498047,1
2.5,1953,7204,116,0.6982758620689655,0.03008437156677246,0.11703109741210938,0.02606797218322754,0.0003209114074707031,1
3.0,1953,6879,145,0.7931034482758621,0.02880716323852539,0.13883161544799805,0.02403092384338379,0.00028133392333984375,1
3.5,1953,7448,98,0.7857142857142857,0.029418230056762695,0.15990042686462402,0.027566194534301758,0.0002694129943847656,1
4.0,1953,8873,131,0.6946564885496184,0.029166221618652344,0.1786181926727295,0.03215932846069336,0.00033473968505859375,1
4.5,1953,6791,78,0.782051282051282,0.02886676788330078,0.18005156517028809,0.023935794830322266,0.00024580955505371094,1
5.0,1953,6860,88,0.7727272727272727,0.028815031051635742,0.2001035213470459,0.02345418930053711,0.00022339820861816406,1
